Image_ID,Gender,Object_Class,Relative_Size,3D_Distance,Normalized_Depth,Scene_Similarity_Bias
metadata_000000395606,1,baseball bat,0.284700436,30.67774617,56.31172579,0.000627219
metadata_000000003124,1,backpack,0.035453039,51.3423861,33.96417332,0.001634841
metadata_000000397815,1,umbrella,0.515599204,37.96328493,57.67811976,0.000271416
metadata_000000263043,1,frisbee,0.03063033,5.989575876,38.1349481,0.002648083
metadata_000000527040,0,bird,0.408097394,70.82108113,28.99203346,0.001334263
metadata_000000394572,1,bowl,0.026412322,40.21765664,68.39869281,-0.000452142
metadata_000000003590,1,umbrella,0.196142304,176.2606076,18.52335379,-0.000951492
metadata_000000004498,1,skateboard,0.069454903,21.43220069,65.34806864,0.000283894
metadata_000000396354,1,baseball bat,0.075509837,38.67642305,48.11039687,0.00096663
metadata_000000394892,0,car,0.134667822,100.2248237,21.45005428,0.001032302
metadata_000000396106,1,couch,0.320949552,21.99433359,68.91092302,-6.55E-05
metadata_000000004042,1,chair,0.007064657,147.331326,12.28274026,0.000309318
metadata_000000000113,1,dining table,1.40275499,85.61401899,44.19732075,-0.000409539
metadata_000000132574,0,car,0.068852262,168.7272853,6.679764628,6.22E-05
metadata_000000003988,0,bicycle,0.650833952,51.74928961,69.04835365,-0.001029426
metadata_000000395665,0,sports ball,0.002494266,0.266468162,78.1712963,-4.99E-05
metadata_000000000542,1,airplane,6.732030859,36.64018121,25.16506581,0.001259779
metadata_000000000831,1,car,0.009718079,106.0432059,2.68907563,0.002142769
metadata_000000134454,1,sports ball,0.004450966,41.70840345,39.79820261,0.00141146
metadata_000000134494,1,skateboard,0.480250082,13.21497106,61.87901613,0.00059151
metadata_000000135676,1,cup,0.046387539,23.62128663,74.54039102,-0.000511782
metadata_000000266217,0,kite,8.796570612,54.59752803,25.66006189,0.000267597
metadata_000000525668,1,bowl,0.18681754,55.18022158,33.58543417,0.001398461
metadata_000000134454,1,chair,0.011168924,106.3046531,12.57359084,0.00141146
metadata_000000527229,1,tv,0.170093603,23.0907449,34.47807523,0.002257123
metadata_000000525813,1,cow,0.839564864,54.78496812,25.94024881,0.001803537
metadata_000000135327,1,tv,0.147413391,104.9853822,11.14977169,0.001516133
metadata_000000527086,1,bottle,0.016737285,78.01495405,30.09250399,0.0010003
metadata_000000528305,1,baseball glove,0.010188041,53.61586705,45.9204793,0.000600895
metadata_000000396106,1,remote,0.024210535,18.95147455,69.78607167,-6.55E-05
metadata_000000395291,1,sports ball,0.003695966,131.4117366,10.6522609,0.000802609
metadata_000000134496,0,potted plant,0.065076979,135.3776601,8.39065785,0.000832765
metadata_000000004385,1,cup,0.121100379,66.84485259,21.574492,0.001883112
metadata_000000526257,1,baseball glove,0.023743015,9.999204327,66.5966707,0.000407714
metadata_000000003488,1,sports ball,0.02541465,48.3366978,52.63739979,0.000271472
metadata_000000004834,0,cup,0.036868394,24.29607463,78.39713663,-0.000830191
metadata_000000263878,1,bowl,0.07356622,71.3420031,66.78616318,-0.001393444
metadata_000000002184,1,tennis racket,0.076009316,104.8472008,15.05260215,0.001230656
metadata_000000132889,1,cup,0.061918121,39.64921967,48.23801743,0.000794215
